Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%?,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
321,Austin Rivers\riverau01,SG,25,LAC,32,30,32.7,5.7,13.7,0.418,2.5,6.3,0.405,3.2,7.4,0.429,0.51,1.8,2.8,0.648,0.5,1.6,2.1,3.6,1.3,0.3,1.9,2.5,15.8
322,John Wall\walljo01,PG,27,WAS,37,37,34.3,6.8,16.3,0.417,1.4,4,0.358,5.4,12.3,0.436,0.461,4.3,6,0.719,0.5,3,3.6,9.3,1.3,1.1,3.6,1.9,19.4
323,Wayne Ellington\ellinwa01,SG,30,MIA,51,2,26.2,3.7,8.9,0.417,3,7.5,0.402,0.7,1.5,0.493,0.584,0.8,0.9,0.813,0.3,2.7,3,1,0.6,0.1,0.7,1.1,11.2
324,Jeremy Lin\linje01,PG,29,BRK,1,1,25,5,12,0.417,1,2,0.5,4,10,0.4,0.458,7,7,1,0,0,0,4,0,0,3,3,18
325,Alec Burks\burksal01,SG,26,UTA,46,0,18.6,3.2,7.6,0.417,0.8,2.5,0.336,2.3,5,0.457,0.473,2.2,2.5,0.871,0.3,2.9,3.3,1.1,0.7,0.2,1,1.3,9.3
326,Richard Jefferson\jefferi01,SF,37,DEN,16,0,8.6,0.6,1.5,0.417,0.1,0.4,0.286,0.5,1.1,0.471,0.458,0.3,0.4,0.571,0.1,0.8,0.9,0.6,0.1,0.1,0.3,0.6,1.6
327,Jon Leuer\leuerjo01,PF,28,DET,8,0,17,1.9,4.5,0.417,0,0.4,0,1.9,4.1,0.455,0.417,1.6,1.9,0.867,0.9,3.1,4,0.6,0.1,0.4,1,2,5.4
328,Kyle Lowry\lowryky01,PG,31,TOR,46,46,32.8,5.2,12.5,0.416,2.9,7.5,0.386,2.3,5,0.461,0.531,3.1,3.6,0.873,0.8,5.2,6,6.6,1.2,0.2,2.7,2.3,16.4
329,Frank Kaminsky\kaminfr01,PF,24,CHO,47,1,23.2,3.9,9.3,0.415,1.2,3.5,0.337,2.7,5.8,0.462,0.478,1.7,2.2,0.775,0.6,3.1,3.7,1.5,0.5,0.3,0.8,1.3,10.6
330,Georgios Papagiannis\papagge01,C,20,SAC,15,0,7.7,1.1,2.7,0.415,0,0,,1.1,2.7,0.415,0.415,0,0,,0.8,1.6,2.4,0.6,0.1,0.4,0.5,0.8,2.3
331,Marco Belinelli\belinma01,SG,31,ATL,50,1,23.4,3.9,9.4,0.414,1.8,4.7,0.371,2.1,4.6,0.457,0.507,1.8,2,0.929,0.3,1.7,1.9,2,0.9,0.1,1.1,0.8,11.4
332,Robert Covington\covinro01,PF,27,PHI,46,46,32.4,4.4,10.6,0.413,2.7,7.1,0.38,1.7,3.5,0.479,0.54,1.7,2,0.856,0.8,4.9,5.7,1.9,1.6,0.8,1.9,3,13.2
